Rank (of 400),School,Type,Grades,Address,City,Zip,Latitude,Longitude,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
385,Middlesex County Vocational School East Bruns. School of Career Develop,Public,12-Sep,112 Rues Lane,East Brunswick,8816,40.434239,-74.40504,(n/a),No,No,(732) 257-7715,
386,Barringer Arts High School,Public,12-Sep,90 Parker St,Newark,7104,40.736101,-74.22509,(n/a),No,Yes,(973) 268-5125,
387,Central High School,Public,12-Sep,250 18th Avenue,Newark,7103,40.736101,-74.22509,(n/a),No,Yes,(973) 733-6378,
388,Abraham Clark High School,Public,12-Sep,122 East 6th Ave,Roselle,7203,40.653502,-74.26058,(n/a),No,Yes,(908) 298-2000,
389,Weequahic High School,Public,12-Sep,279 Chancellor Ave,Newark,7112,40.725651,-74.23207,(n/a),No,Yes,(973) 705-3923,
390,Bergen County Technical High School - Paramus,Public,12-Sep,E.285 Pascack Road,Paramus,7652,40.947107,-74.07047,(n/a),No,Yes,(201) 343-6000,
391,Admiral William F. Halsey Junior Health & Public Safety Academy,Public,12-Sep,641 South Street,Elizabeth,7202,40.669502,-74.19889,(n/a),No,Yes,(908) 436-6600,
392,Woodrow Wilson High School,Public,12-Sep,3100 Federal Street,Camden,8105,39.918663,-75.10976,(n/a),No,Yes,(856) 966-5300,
393,Alternative High School,Public,12-Jun,350 Market Street,Paterson,7501,40.912198,-74.16863,(n/a),No,No,(973) 321-0570,
394,East Orange Campus High School,Public,12-Sep,344 Prospect Street,East Orange,7017,40.770933,-74.20589,(n/a),No,Yes,(973) 266-7300,
395,Thomas A. Edison Career and Technical Academy,Public,12-Sep,625 Summer St,Elizabeth,7202,40.669502,-74.19889,(n/a),No,Yes,(908) 436-6800,
396,Academy Charter High School,"Public, Charter",12-Sep,1725 Main Street,Lake Como,7719,40.415902,-74.08689,(n/a),No,Yes,(732) 681-8377,
397,Camden High School,Public,12-Sep,1875 Park Boulevard,Camden,8103,39.80237,-74.938259,(n/a),No,Yes,(856) 966-5100,
398,John E. Dwyer Technology Academy,Public,12-Sep,123 Pearl St,Elizabeth,7202,40.669502,-74.19889,(n/a),No,Yes,(908) 436-6565,
399,Daylight/Twilight High School,Public,12-Sep,501 Edgewood Avenue,Trenton,8618,40.280531,-74.712018,(n/a),No,Yes,(609) 656-4850,
400,Camden Big Picture Learning Academy,Public,12-Jun,1725 Park Boulevard,Camden,8103,39.80237,-74.938259,(n/a),No,Yes,(856) 966-5122,
